AZA.ST,AZN.ST,GETI-B.ST,HM-B.ST,ICA.ST,SCA-B.ST,SEB-A.ST,SSAB-A.ST
162.085999,302.306305,143.59967,184.573944,74.763542,8.508636,41.518398,98.182121
163.283646,301.653351,144.778839,186.006577,73.831787,8.562016,41.970917,97.23259
163.682892,300.160889,143.852493,184.892334,73.645462,8.490842,41.782368,96.852768
166.078247,300.907135,145.031647,182.504562,73.384529,8.535325,41.706947,97.897263
163.283646,301.186951,145.958008,182.265778,72.788254,8.481945,41.706947,97.042671
162.485199,293.818176,142.420486,181.390274,71.595558,8.41077,40.726494,94.526405
158.892181,299.881104,142.758179,179.878052,71.632866,8.473047,40.424812,94.573875
154.899902,298.481934,139.894211,177.649429,70.775665,8.415219,39.444359,91.392929
155.299133,301.933136,142.336548,177.888229,69.396652,8.392978,39.632912,91.297981
152.504547,298.108887,139.641434,176.933136,68.912163,8.263975,38.803299,90.111061
150.907654,297.735779,139.135818,176.933136,67.533134,8.27732,38.463909,88.971611
157.295273,302.212952,140.736633,178.047379,67.160416,8.335149,39.444359,89.731247
153.702225,300.907135,139.388596,173.510666,64.25338,8.255077,38.426201,88.069557
153.302994,296.056763,137.36705,171.122894,62.613506,8.054946,37.898266,87.025063
152.105316,294.284576,138.125473,170.008606,64.216141,8.081635,38.878716,87.167496
152.504547,292.325745,137.451904,167.780029,64.327919,7.828122,38.237656,84.603745
153.702225,291.486267,139.388596,170.963699,64.439789,7.912598,38.878716,87.167496
154.101456,291.206451,137.956635,166.9841,62.05447,7.863709,37.785137,85.410851
153.702225,292.885406,134.587952,166.824921,62.911682,7.663532,36.691555,82.609718
153.302994,290.740112,137.619827,171.520874,62.613506,7.614601,36.382332,83.084488
154.101456,292.139221,138.041489,171.520874,62.7626,7.605703,36.917816,83.369347
156.496796,294.564362,139.810242,173.90863,67.011406,7.899296,38.162231,86.835152
154.500671,292.419037,143.010086,173.59024,66.675934,7.921494,38.991844,89.778717
155.299133,293.165253,138.546219,172.316772,66.154198,7.957081,39.331234,89.493858
155.299133,296.336609,139.810242,174.545364,65.967804,8.121671,39.519783,89.446373
154.899902,297.362671,140.904556,176.216766,65.967804,8.135016,39.444359,88.211983
152.105316,297.269379,139.810242,175.341278,66.601387,8.023807,38.426201,86.597771
154.101456,298.295441,142.336548,176.933136,67.831314,8.139464,38.878716,88.924141
151.7061,299.787811,140.651764,177.33107,67.384056,8.103878,38.27536,87.025063
151.306854,302.212952,144.863708,175.580048,66.750465,7.930391,36.985695,84.793655
149.709946,302.679352,145.453278,175.500458,65.856033,7.903745,36.646297,84.128975
144.120789,299.881104,145.368423,173.82901,65.595085,7.979323,37.113903,85.458321
142.124649,300.254181,144.526047,171.441254,64.290695,7.948184,35.44714,82.657196
138.132385,300.067596,144.021332,171.282074,64.737877,7.796983,34.753277,81.280365
131.744766,297.829041,142.252579,170.486145,64.7752,7.654636,34.293213,79.04895
133.341675,295.683716,145.2005,171.122894,63.806202,7.828122,34.97953,79.381287
134.140106,293.911438,146.631561,172.157593,64.104301,7.899296,36.420048,80.853073
136.136246,296.89624,148.653137,171.918823,65.147903,8.263975,37.332619,82.182426
142.52388,294.004761,148.569153,172.475952,67.905853,8.419668,37.015858,87.784691
142.52388,294.284576,149.832321,172.794327,67.085953,8.415219,36.389877,84.413834
145.717682,291.579529,148.485168,171.600449,68.092247,8.352942,36.487923,83.274391
148.113052,290.833252,149.664352,172.078003,68.949471,8.317355,36.065571,82.562233
146.516144,290.646851,146.210815,171.998413,67.235046,8.286217,36.555801,80.853073
146.116913,288.221649,143.262894,171.202499,66.713234,8.166155,36.284286,80.568207
147.31459,283.651154,139.304626,168.496368,67.458603,8.103878,34.843777,77.956985
137.73317,280.013336,136.86232,162.924911,67.085953,8.112774,33.403267,74.633606
